### MAIN SAMPLES ###
featureId;id;datetime;meanNDVI;meanNDVISmoothed;medianNDVI;medianNDVISmoothed;n_valid;valid_fraction;not_valid_fraction;filter;filter_fraction;Change point;Z-Score;Annotation;Status
"S2B_MSIL2A_20251226T102339_R065_T33UUU_20251226T124209";"20";"2025-12-26T10:23:39.024000Z";"0.11864265499146859";"0.11864265499146859";"0.09619208797812462";"0.09619208797812462";"22497";"88.99%";"WATER: 10.93%
THIN_CIRRUS: 0.08%";"z-score";"85.51%";"false";"N/A";"N/A";"Included"
"S2B_MSIL2A_20251226T102339_R065_T32UQD_20251226T124209";"21";"2025-12-26T10:23:39.024000Z";"0.11902519486609396";"0.11902519486609396";"0.09706144034862518";"0.09706144034862518";"21512";"88.97%";"WATER: 10.93%
THIN_CIRRUS: 0.10%";"z-score";"85.49%";"false";"N/A";"N/A";"Included"
"S2C_MSIL2A_20251228T101441_R022_T33UUU_20251228T140410";"22";"2025-12-28T10:14:41.025000Z";"0.12954185853489414";"0.12954185853489414";"0.1030886173248291";"0.1030886173248291";"22669";"89.67%";"WATER: 9.98%
THIN_CIRRUS: 0.36%";"z-score";"86.42%";"true";"+96.12";"N/A";"Included"
"S2C_MSIL2A_20251228T101441_R022_T32UQD_20251228T140410";"23";"2025-12-28T10:14:41.025000Z";"0.1327802589939779";"0.1327802589939779";"0.1053864136338234";"0.1053864136338234";"21808";"90.19%";"WATER: 9.45%
THIN_CIRRUS: 0.36%";"z-score";"86.83%";"false";"N/A";"N/A";"Included"
"S2A_MSIL2A_20251230T101451_R022_T33UUU_20251230T113318";"24";"2025-12-30T10:14:51.024000Z";"0.12773214102580704";"0.12773214102580704";"0.10288817062973976";"0.10288817062973976";"23769";"94.02%";"WATER: 5.95%
THIN_CIRRUS: 0.03%";"z-score";"90.26%";"false";"N/A";"N/A";"Included"
"S2A_MSIL2A_20251230T101451_R022_T32UQD_20251230T113318";"25";"2025-12-30T10:14:51.024000Z";"0.12821216328156868";"0.12821216328156868";"0.10325837880373001";"0.10325837880373001";"22738";"94.04%";"WATER: 5.95%
THIN_CIRRUS: 0.02%";"z-score";"90.33%";"false";"N/A";"N/A";"Included"


### COMPARISON SAMPLES ###
featureId;id;datetime;meanNDVI;meanNDVISmoothed;medianNDVI;medianNDVISmoothed;n_valid;valid_fraction;not_valid_fraction;filter;filter_fraction;Change point;Z-Score;Annotation;Status
"S2A_MSIL2A_20250911T101041_R022_T33UUU_20250911T115713";"1";"2025-09-11T10:10:41.024000Z";"0.139937401286873";"0.139937401286873";"0.10402218997478485";"0.10402218997478485";"2300";"99.83%";"WATER: 0.17%";"z-score";"92.88%";"false";"N/A";"N/A";"Included"
"S2A_MSIL2A_20250911T101041_R022_T32UQD_20250911T115713";"2";"2025-09-11T10:10:41.024000Z";"0.1388763631142452";"0.1388763631142452";"0.10355883091688156";"0.10355883091688156";"2070";"99.81%";"WATER: 0.19%";"z-score";"93.01%";"false";"N/A";"N/A";"Included"
"S2B_MSIL2A_20250924T100649_R022_T33UUU_20250924T124221";"3";"2025-09-24T10:06:49.024000Z";"0.15790500402986174";"0.15790500402986174";"0.12040741741657257";"0.12040741741657257";"2280";"98.96%";"WATER: 1.04%";"z-score";"92.23%";"false";"N/A";"N/A";"Included"
"S2B_MSIL2A_20250924T100649_R022_T32UQD_20250924T124221";"4";"2025-09-24T10:06:49.024000Z";"0.15571648202661778";"0.15571648202661778";"0.11749149858951569";"0.11749149858951569";"2054";"99.04%";"WATER: 0.96%";"z-score";"92.33%";"false";"N/A";"N/A";"Included"
"S2A_MSIL2A_20250924T102041_R065_T33UUU_20250924T160513";"5";"2025-09-24T10:20:41.024000Z";"0.16024925194769837";"0.16024925194769837";"0.12582136690616608";"0.12582136690616608";"2284";"99.13%";"WATER: 0.87%";"z-score";"92.58%";"false";"N/A";"N/A";"Included"
"S2A_MSIL2A_20250924T102041_R065_T32UQD_20250924T160513";"6";"2025-09-24T10:20:41.024000Z";"0.15786913819635962";"0.15786913819635962";"0.12054421752691269";"0.12054421752691269";"2058";"99.23%";"WATER: 0.77%";"z-score";"92.86%";"false";"N/A";"N/A";"Included"
